number,value,datetime_start,datetime_complete,duration,params_w_knn,params_w_mf,params_w_pop,user_attrs_weights_normalized,state
60,0.04207340186392883,2025-11-17 18:01:33.596844,2025-11-17 18:01:51.928063,0 days 00:00:18.331219,0.29394021182517466,0.42429259759815974,0.9166882765384775,"{'w_mf': 0.16286923816762483, 'w_knn': 0.11283208483438341, 'w_pop': 0.3}",COMPLETE
61,0.03666204530290222,2025-11-17 18:01:51.928063,2025-11-17 18:02:10.207894,0 days 00:00:18.279831,0.3539340090456791,0.7797468454208645,0.045576310437708024,"{'w_mf': 0.6612186625842338, 'w_knn': 0.30013301557885075, 'w_pop': 0.03864832183691548}",COMPLETE
62,0.05382146351798743,2025-11-17 18:02:10.208938,2025-11-17 18:02:28.527134,0 days 00:00:18.318196,0.4001331506146867,0.8057468978077431,7.148175428583819e-05,"{'w_mf': 0.6681420253181088, 'w_knn': 0.3317987005299067, 'w_pop': 5.927415198466852e-05}",COMPLETE
63,0.03500760154285882,2025-11-17 18:02:28.528172,2025-11-17 18:02:47.326991,0 days 00:00:18.798819,0.33444089717750997,0.7382016792189277,0.08768563537912873,"{'w_mf': 0.6362007505525623, 'w_knn': 0.2882295662412097, 'w_pop': 0.07556968320622813}",COMPLETE
64,0.03476164873189815,2025-11-17 18:02:47.326991,2025-11-17 18:03:05.615577,0 days 00:00:18.288586,0.18318046452263015,0.2666985850125265,0.037005001164577965,"{'w_mf': 0.5477661152162113, 'w_knn': 0.37623016046504065, 'w_pop': 0.07600372431874802}",COMPLETE
65,0.03803437760569339,2025-11-17 18:03:05.615577,2025-11-17 18:03:23.909206,0 days 00:00:18.293629,0.228018724108344,0.6828853690015997,0.15642412329077005,"{'w_mf': 0.639808222539504, 'w_knn': 0.21363505677501693, 'w_pop': 0.14655672068547917}",COMPLETE
66,0.037413408618421476,2025-11-17 18:03:23.909206,2025-11-17 18:03:42.389025,0 days 00:00:18.479819,0.2639159760219402,0.8281883499765612,0.12016862690169544,"{'w_mf': 0.683169865330439, 'w_knn': 0.21770342676585946, 'w_pop': 0.09912670790370144}",COMPLETE
67,0.03745133816521778,2025-11-17 18:03:42.389025,2025-11-17 18:04:00.199448,0 days 00:00:17.810423,0.11720024168691215,0.6189842582650446,0.06137851055810479,"{'w_mf': 0.7760944904769199, 'w_knn': 0.1469479403413652, 'w_pop': 0.0769575691817148}",COMPLETE
68,0.05566687081093001,2025-11-17 18:04:00.199448,2025-11-17 18:04:18.532603,0 days 00:00:18.333155,0.15619560442716449,0.7323799898117348,0.005953487189585948,"{'w_mf': 0.8187324537757761, 'w_knn': 0.174612103362513, 'w_pop': 0.006655442861710818}",COMPLETE
69,0.03913582548839995,2025-11-17 18:04:18.533649,2025-11-17 18:04:37.951025,0 days 00:00:19.417376,0.026238784795428627,0.7299477465677131,0.11783030453595295,"{'w_mf': 0.8351644002564563, 'w_knn': 0.030020914606795852, 'w_pop': 0.13481468513674771}",COMPLETE
70,0.0341560615683759,2025-11-17 18:04:37.951025,2025-11-17 18:04:55.997868,0 days 00:00:18.046843,0.6572988246917533,0.8576360111157402,0.03109699118394744,"{'w_mf': 0.5547337358408005, 'w_knn': 0.4251521949395109, 'w_pop': 0.02011406921968858}",COMPLETE
71,0.057441191094141635,2025-11-17 18:04:55.998906,2025-11-17 18:05:14.159422,0 days 00:00:18.160516,0.16828907239547208,0.7698709260314023,0.004869150003426579,"{'w_mf': 0.8163808375519193, 'w_knn': 0.17845585438752776, 'w_pop': 0.005163308060552973}",COMPLETE
72,0.06029150128988984,2025-11-17 18:05:14.160659,2025-11-17 18:05:32.292039,0 days 00:00:18.131380,0.14383040880327908,0.7925866761815719,0.0004558041788492442,"{'w_mf': 0.8459916871850934, 'w_knn': 0.15352179625100404, 'w_pop': 0.0004865165639024072}",COMPLETE
73,0.0391150937537575,2025-11-17 18:05:32.293049,2025-11-17 18:05:51.296964,0 days 00:00:19.003915,0.08362369391455718,0.7983035753567616,0.08300284751661842,"{'w_mf': 0.8273175035868476, 'w_knn': 0.08666295357525375, 'w_pop': 0.08601954283789856}",COMPLETE
74,0.0450010696084424,2025-11-17 18:05:51.297501,2025-11-17 18:06:09.371735,0 days 00:00:18.074234,0.19987522412948672,0.8925859588678939,0.02412241595382727,"{'w_mf': 0.7993901752688182, 'w_knn': 0.17900605410757137, 'w_pop': 0.021603770623610383}",COMPLETE
75,0.03690485462686767,2025-11-17 18:06:09.372778,2025-11-17 18:06:27.406992,0 days 00:00:18.034214,0.13430522750747748,0.7708861730256692,0.0655082728355269,"{'w_mf': 0.7941551791713491, 'w_knn': 0.13835919717721804, 'w_pop': 0.06748562365143264}",COMPLETE
76,0.040032678409269724,2025-11-17 18:06:27.406992,2025-11-17 18:06:48.532966,0 days 00:00:21.125974,0.10248549704591275,0.9121584378400371,0.2048964748625144,"{'w_mf': 0.7479526144018253, 'w_knn': 0.08403616331749995, 'w_pop': 0.16801122228067475}",COMPLETE
77,0.057876374223465955,2025-11-17 18:06:48.532966,2025-11-17 18:07:04.640478,0 days 00:00:16.107512,0.2865950273973046,0.9590143800779822,0.00029509207345433273,"{'w_mf': 0.7697334590454816, 'w_knn': 0.23002969128140038, 'w_pop': 0.00023684967311797433}",COMPLETE
78,0.043896604114455104,2025-11-17 18:07:04.640478,2025-11-17 18:07:26.578506,0 days 00:00:21.938028,0.2875098058673526,0.9594514517265318,0.03620490199166635,"{'w_mf': 0.747721910026387, 'w_knn': 0.22406280256035993, 'w_pop': 0.028215287413252976}",COMPLETE
79,0.05965345577149579,2025-11-17 18:07:26.579543,2025-11-17 18:07:47.093781,0 days 00:00:20.514238,0.16605182428652393,0.8455340317421273,0.00016495196687209529,"{'w_mf': 0.8357137202759403, 'w_knn': 0.16412324356380317, 'w_pop': 0.0001630361602565927}",COMPLETE
80,0.03805379359189871,2025-11-17 18:07:47.095037,2025-11-17 18:08:06.859387,0 days 00:00:19.764350,0.24225752671379083,0.8519713550765494,0.16505418183141232,"{'w_mf': 0.6765526986650983, 'w_knn': 0.19237734049805108, 'w_pop': 0.13106996083685057}",COMPLETE
81,0.05894015557378728,2025-11-17 18:08:06.859387,2025-11-17 18:08:26.283155,0 days 00:00:19.423768,0.17114962411114737,0.878384828886561,0.004195694405139182,"{'w_mf': 0.8335956136886999, 'w_knn': 0.1624226321444667, 'w_pop': 0.0039817541668333255}",COMPLETE
82,0.037129424837434824,2025-11-17 18:08:26.283155,2025-11-17 18:08:45.643777,0 days 00:00:19.360622,0.16510035966958314,0.9409514403794432,0.08182477912194709,"{'w_mf': 0.792128960936446, 'w_knn': 0.1389878061109747, 'w_pop': 0.06888323295257923}",COMPLETE
83,0.044350564244498604,2025-11-17 18:08:45.644814,2025-11-17 18:09:05.981677,0 days 00:00:20.336863,0.13846036449309704,0.8864931786037229,0.036568249963059345,"{'w_mf': 0.8351153828395464, 'w_knn': 0.13043572482292565, 'w_pop': 0.034448892337527896}",COMPLETE
84,0.03916772275179181,2025-11-17 18:09:05.981677,2025-11-17 18:09:24.401797,0 days 00:00:18.420120,0.07875729998530777,0.8235672706961337,0.059374119323912115,"{'w_mf': 0.8563672585345302, 'w_knn': 0.08189394537375251, 'w_pop': 0.061738796091717243}",COMPLETE
85,0.037777854719529415,2025-11-17 18:09:24.401797,2025-11-17 18:09:45.571148,0 days 00:00:21.169351,0.18084510330111297,0.8738848052259615,0.12684358088673559,"{'w_mf': 0.7395941200910864, 'w_knn': 0.15305446924916363, 'w_pop': 0.1073514106597499}",COMPLETE
86,0.03937659258734155,2025-11-17 18:09:45.572160,2025-11-17 18:10:04.075115,0 days 00:00:18.502955,0.04417003364402404,0.9823523497694826,0.09995824139926096,"{'w_mf': 0.8720543683853944, 'w_knn': 0.03921064656692656, 'w_pop': 0.08873498504767893}",COMPLETE
87,0.0408588189416139,2025-11-17 18:10:04.076113,2025-11-17 18:10:22.839812,0 days 00:00:18.763699,0.10832115950017421,0.9101619755010975,0.333330965763103,"{'w_mf': 0.6732893043403321, 'w_knn': 0.08013021867350303, 'w_pop': 0.24658047698616484}",COMPLETE
88,0.04465252037214437,2025-11-17 18:10:22.840318,2025-11-17 18:10:42.542065,0 days 00:00:19.701747,0.20890477821745912,0.9590587574692876,0.026724496503610775,"{'w_mf': 0.802769201354546, 'w_knn': 0.17486136345942144, 'w_pop': 0.022369435186032384}",COMPLETE
89,0.03965577949017206,2025-11-17 18:10:42.543117,2025-11-17 18:11:04.670727,0 days 00:00:22.127610,0.017497389463946078,0.8401597481031945,0.06056183650517153,"{'w_mf': 0.9149884415664773, 'w_knn': 0.019055791655387982, 'w_pop': 0.0659557667781347}",COMPLETE
90,0.05910419048129058,2025-11-17 18:11:04.671971,2025-11-17 18:11:23.188251,0 days 00:00:18.516280,0.13869318569733743,0.6947012451676475,0.0008943724632299424,"{'w_mf': 0.8326867655376495, 'w_knn': 0.16624121664350633, 'w_pop': 0.0010720178188440702}",COMPLETE
91,0.04520730862030679,2025-11-17 18:11:23.189286,2025-11-17 18:11:45.396181,0 days 00:00:22.206895,0.141607745992907,0.693501492038535,0.02507963104876,"{'w_mf': 0.8062200255858862, 'w_knn': 0.16462401582146471, 'w_pop': 0.02915595859264907}",COMPLETE
92,0.057734978743142144,2025-11-17 18:11:45.396629,2025-11-17 18:12:01.109819,0 days 00:00:15.713190,0.17066867409163822,0.759646387095744,0.003909212919102997,"{'w_mf': 0.8131306455532729, 'w_knn': 0.18268490642128724, 'w_pop': 0.0041844480254399985}",COMPLETE
93,0.040854040100800376,2025-11-17 18:12:01.110822,2025-11-17 18:12:16.249909,0 days 00:00:15.139087,0.23979556969114574,0.9987714149717353,0.050764174314013685,"{'w_mf': 0.7746430449755644, 'w_knn': 0.18598446801008628, 'w_pop': 0.03937248701434927}",COMPLETE
94,0.0473352285251976,2025-11-17 18:12:16.249909,2025-11-17 18:12:31.444365,0 days 00:00:15.194456,0.06007406348631869,0.8102957923577017,0.02356438571074615,"{'w_mf': 0.9064378057030263, 'w_knn': 0.06720188207785335, 'w_pop': 0.0263603122191203}",COMPLETE
95,0.060109231726620437,2025-11-17 18:12:31.445362,2025-11-17 18:12:47.913963,0 days 00:00:16.468601,0.11912058315091831,0.7155105991071347,0.0005456513925926774,"{'w_mf': 0.8567174881750045, 'w_knn': 0.1426291754648291, 'w_pop': 0.0006533363601664786}",COMPLETE
96,0.038114065556360335,2025-11-17 18:12:47.915132,2025-11-17 18:13:03.361830,0 days 00:00:15.446698,0.09532037831857686,0.6362345481709865,0.07868370968404005,"{'w_mf': 0.7852434082576452, 'w_knn': 0.11764481976412851, 'w_pop': 0.09711177197822633}",COMPLETE
97,0.037969617270963596,2025-11-17 18:13:03.362832,2025-11-17 18:13:18.429743,0 days 00:00:15.066911,0.1308981958346785,0.7212279269039642,0.09771271338778659,"{'w_mf': 0.7593161065568015, 'w_knn': 0.13781095366504378, 'w_pop': 0.10287293977815457}",COMPLETE
98,0.03632413636129168,2025-11-17 18:13:18.429743,2025-11-17 18:13:33.183862,0 days 00:00:14.754119,0.19403143491875444,0.14214194076382086,0.052176417421227035,"{'w_mf': 0.366015234945233, 'w_knn': 0.49963058655960607, 'w_pop': 0.13435417849516082}",COMPLETE
99,0.043769182113300074,2025-11-17 18:13:33.183862,2025-11-17 18:13:50.356933,0 days 00:00:17.173071,0.22011050430141182,0.8468119111172433,0.025710193195853343,"{'w_mf': 0.7750198048647171, 'w_knn': 0.20144969367198243, 'w_pop': 0.02353050146330032}",COMPLETE
100,0.03725038955495199,2025-11-17 18:13:50.356933,2025-11-17 18:14:05.194415,0 days 00:00:14.837482,0.11461045118571411,0.8775175719507684,0.07441628195593167,"{'w_mf': 0.8227671065898505, 'w_knn': 0.10745962510744766, 'w_pop': 0.06977326830270181}",COMPLETE
101,0.05955099500238617,2025-11-17 18:14:05.195452,2025-11-17 18:14:20.073117,0 days 00:00:14.877665,0.1531482818135372,0.7577865353985254,0.0006560611643545443,"{'w_mf': 0.8312791992260563, 'w_knn': 0.16800111261128559, 'w_pop': 0.000719688162658031}",COMPLETE
102,0.05956143033229008,2025-11-17 18:14:20.074154,2025-11-17 18:14:35.209980,0 days 00:00:15.135826,0.14758004012611212,0.7480967303332339,0.0011145411156036687,"{'w_mf': 0.8341926607422437, 'w_knn': 0.1645645293629476, 'w_pop': 0.001242809894808532}",COMPLETE
103,0.03923461720017853,2025-11-17 18:14:35.210737,2025-11-17 18:14:49.890983,0 days 00:00:14.680246,0.1524375665329934,0.743928409302195,0.04371065777499907,"{'w_mf': 0.7913486865908771, 'w_knn': 0.16215440431445, 'w_pop': 0.046496909094672974}",COMPLETE
104,0.04080530459844179,2025-11-17 18:14:49.890983,2025-11-17 18:15:04.650658,0 days 00:00:14.759675,0.08507776766689512,0.7874357010800248,0.7654791441416747,"{'w_mf': 0.36581821242501084, 'w_knn': 0.03952449303775092, 'w_pop': 0.3}",COMPLETE
105,0.04816764432872368,2025-11-17 18:15:04.650658,2025-11-17 18:15:19.726244,0 days 00:00:15.075586,0.048464979479364845,0.7088100897704042,0.019571376041045543,"{'w_mf': 0.9124198148387733, 'w_knn': 0.06238682016652835, 'w_pop': 0.02519336499469847}",COMPLETE
106,0.03908003656821501,2025-11-17 18:15:19.726244,2025-11-17 18:15:35.122934,0 days 00:00:15.396690,0.06708385867087123,0.6760243856824001,0.10984220922053609,"{'w_mf': 0.7925716937600554, 'w_knn': 0.07864918576430106, 'w_pop': 0.12877912047564347}",COMPLETE
107,0.04121093344238319,2025-11-17 18:15:35.122934,2025-11-17 18:15:50.703070,0 days 00:00:15.580136,0.1209725683532242,0.815352564643145,0.46306081428371676,"{'w_mf': 0.5569280164223536, 'w_knn': 0.08263052752396241, 'w_pop': 0.3}",COMPLETE
108,0.03821403947038754,2025-11-17 18:15:50.703070,2025-11-17 18:16:05.613273,0 days 00:00:14.910203,0.18458243929198923,0.6565786819506068,0.043044148987424834,"{'w_mf': 0.7425636377170672, 'w_knn': 0.20875519012001725, 'w_pop': 0.04868117216291546}",COMPLETE
109,0.03849349866673335,2025-11-17 18:16:05.614270,2025-11-17 18:16:21.042558,0 days 00:00:15.428288,0.15453278766585515,0.7495976294255954,0.144835619046135,"{'w_mf': 0.7146061965797297, 'w_knn': 0.14731915271047552, 'w_pop': 0.1380746507097947}",COMPLETE
110,0.04889114667489907,2025-11-17 18:16:21.042558,2025-11-17 18:16:36.525105,0 days 00:00:15.482547,0.10688778000908568,0.7781155737833294,0.01694616035468862,"{'w_mf': 0.8627041331899009, 'w_knn': 0.11850749773967147, 'w_pop': 0.018788369070427573}",COMPLETE
111,0.05893617302601399,2025-11-17 18:16:36.526109,2025-11-17 18:16:54.826517,0 days 00:00:18.300408,0.20796440410779987,0.919346633501997,0.0016457586329305044,"{'w_mf': 0.8143328748820748, 'w_knn': 0.1842093557520754, 'w_pop': 0.0014577693658497308}",COMPLETE
112,0.05842394682263463,2025-11-17 18:16:54.827520,2025-11-17 18:17:13.871498,0 days 00:00:19.043978,0.20431930833162576,0.7997750916774735,0.00045262930093864766,"{'w_mf': 0.7961549517764144, 'w_knn': 0.20339446772537892, 'w_pop': 0.00045058049820677007}",COMPLETE
113,0.03766578664508518,2025-11-17 18:17:13.871498,2025-11-17 18:17:36.776516,0 days 00:00:22.905018,0.21277387531219538,0.8064097332416846,0.05858462176699563,"{'w_mf': 0.7482218445069571, 'w_knn': 0.19742080841337087, 'w_pop': 0.05435734707967192}",COMPLETE
114,0.04421397800951864,2025-11-17 18:17:36.777509,2025-11-17 18:17:57.860056,0 days 00:00:21.082547,0.1449061057411199,0.7225256864201655,0.02122526198999415,"{'w_mf': 0.81305345301087, 'w_knn': 0.16306189779758612, 'w_pop': 0.02388464919154391}",COMPLETE
115,0.05934995606405615,2025-11-17 18:17:57.860056,2025-11-17 18:18:14.769639,0 days 00:00:16.909583,0.19626755097099635,0.8580457512480075,0.00023792947015598164,"{'w_mf': 0.8136596169667417, 'w_knn': 0.1861147614958628, 'w_pop': 0.00022562153739545757}",COMPLETE
116,0.03702329269283643,2025-11-17 18:18:14.770680,2025-11-17 18:18:31.553321,0 days 00:00:16.782641,0.17879923186850252,0.9134575208004574,0.07465573095481447,"{'w_mf': 0.7827986533863891, 'w_knn': 0.15322420008161416, 'w_pop': 0.06397714653199675}",COMPLETE
117,0.04187227431459155,2025-11-17 18:18:31.553321,2025-11-17 18:18:49.037767,0 days 00:00:17.484446,0.256912188083425,0.8660731965487081,0.03846043759988321,"{'w_mf': 0.7456854034605989, 'w_knn': 0.22120032046755506, 'w_pop': 0.03311427607184605}",COMPLETE
118,0.04855568239562259,2025-11-17 18:18:49.037767,2025-11-17 18:19:03.805693,0 days 00:00:14.767926,0.1312073541351108,0.8401973338641376,0.01834921448586334,"{'w_mf': 0.8488951968307862, 'w_knn': 0.13256563455387282, 'w_pop': 0.018539168615341082}",COMPLETE
119,0.04003833045966151,2025-11-17 18:19:03.806699,2025-11-17 18:19:18.656103,0 days 00:00:14.849404,0.014645930646439625,0.8269044092982468,0.09077399448490274,"{'w_mf': 0.886927841269058, 'w_knn': 0.015709051137660413, 'w_pop': 0.0973631075932816}",COMPLETE
